,pca_0,pca_1,surprisal,disc,u_id
78,-42.27184082771126,-0.6197143719381331,1.39402,2,Pit0711
79,-42.27184082771126,-0.6197143719381331,1.39402,2,Adrian (Dübendorf)
80,-42.27184082771126,-0.6197143719381331,1.39402,2,abyd
81,-42.27184082771126,-0.6197143719381331,1.39402,2,Thomas (8910)
82,-33.50504745670449,-1.1528971054138761,1.38596,6,Benny  Bottmingen
83,-17.39486967362384,-1.7557663432815855,1.3638,13,Flip
84,327.91776591041804,-8.293513936725898,1.35457,157,Rontaler
85,10.954274757924832,-2.4753522051118715,1.3211700000000002,25,martinhotz
86,10.954274757924832,-2.4753522051118715,1.3211700000000002,25,pasischuan
87,-31.057387791092392,-1.162646527804908,1.30921,7,Joe
88,18.297571697187646,-2.5398585218993626,1.2793,28,Silas
89,23.1931383636897,-2.5836768057378126,1.2558,30,pepe14
90,-7.603889755872799,-1.831975523415287,1.25563,17,Brösmeli
91,4.63498549909525,-1.937309622916482,1.1743700000000001,22,Dävu
92,-21.266483073542318,-1.2287025493072448,1.14683,11,Roland Morgenthaler
93,16.87387241365654,-2.048004774404387,1.1216700000000002,27,221057Gino
94,-37.37681935563795,-0.6088785973665563,1.07839,4,Vortex2
95,-37.37681935563795,-0.6088785973665563,1.07839,4,Wirbelwind
96,-37.37681935563795,-0.6088785973665563,1.07839,4,Stefan aus Dietikon
97,-34.92911813156403,-0.6228545978137643,1.02423,5,Philipp Maurer
98,-32.4813834160427,-0.6402367449414806,0.988275,6,David(Goms)
99,275.3162042250448,-5.014327115303661,0.974835,133,Kaiko (Döttingen)
100,44.82372879183666,-1.839067183605675,0.929876,38,Domi S.
101,-12.899163312598816,-0.8128619991854144,0.880076,14,Michi (SH)
102,18.922136209779268,-1.1178481058525385,0.8349280000000001,27,widovnir
103,252.4874227681238,-2.9526489317962654,0.742257,122,nordspot
104,12.602895222418452,-0.5847148278455512,0.714367,24,AndréSchwyz
105,5.259518672669745,-0.5121119666223383,0.712963,21,Furion
106,-24.114108635134947,-0.22149173518733464,0.70596,9,Nfry
107,-26.56191089465474,-0.19724022934636068,0.7052,8,David BS
108,-31.457515706204088,-0.14870746884144173,0.703521,6,Linth
109,-33.90531831158447,-0.12442078829154496,0.702573,5,Wetterfreak_VBG
110,-36.35312111013168,-0.10011446229251574,0.70152,4,Martin
111,-36.35312111013168,-0.10011446229251574,0.70152,4,Mickey
112,-36.35312111013168,-0.10011446229251574,0.70152,4,RetoSH
113,-38.80092418095213,-0.07578044556518558,0.7003189999999999,3,Friburg
114,-38.80092418095213,-0.07578044556518558,0.7003189999999999,3,TheSnowMan
115,-38.80092418095213,-0.07578044556518558,0.7003189999999999,3,Dave
116,-38.80092418095213,-0.07578044556518558,0.7003189999999999,3,snapo
117,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,Yves Karrer
118,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,S-KN
119,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,Tajno
120,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,Reto.
121,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,cloud-music
122,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,deysa
123,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,obi_wetter
124,-41.24872768961737,-0.05140189915315786,0.6988800000000001,2,Sennemaa
125,-43.696530029883085,-0.026933418880591836,0.696965,1,Balz BL
126,-43.696530029883085,-0.026933418880591836,0.696965,1,Felix)
127,-43.696530029883085,-0.026933418880591836,0.696965,1,Michael (Seon)
128,-43.696530029883085,-0.026933418880591836,0.696965,1,Unwetter Doku
129,-43.696530029883085,-0.026933418880591836,0.696965,1,deer1376
130,-43.696530029883085,-0.026933418880591836,0.696965,1,srml
131,-43.696530029883085,-0.026933418880591836,0.696965,1,Viktor BE
132,-43.696530029883085,-0.026933418880591836,0.696965,1,Daywalker
133,-43.696530029883085,-0.026933418880591836,0.696965,1,RonnyK
134,-43.696530029883085,-0.026933418880591836,0.696965,1,rootsman
135,-43.696530029883085,-0.026933418880591836,0.696965,1,Holländer
136,-43.696530029883085,-0.026933418880591836,0.696965,1,Nigeau
137,-43.696530029883085,-0.026933418880591836,0.696965,1,qadroflight8460
138,-43.696530029883085,-0.026933418880591836,0.696965,1,ToCoo
139,-43.696530029883085,-0.026933418880591836,0.696965,1,FunkyTown
140,-43.696530029883085,-0.026933418880591836,0.696965,1,simi
141,-43.696530029883085,-0.026933418880591836,0.696965,1,alexbrusino
142,-43.696530029883085,-0.026933418880591836,0.696965,1,Tobi31
143,-43.696530029883085,-0.026933418880591836,0.696965,1,Tanja
144,-43.696530029883085,-0.026933418880591836,0.696965,1,Toolman
145,-43.696530029883085,-0.026933418880591836,0.696965,1,SaschaBE
146,-43.696530029883085,-0.026933418880591836,0.696965,1,ZIPA
147,-43.696530029883085,-0.026933418880591836,0.696965,1,Mige
148,-43.696530029883085,-0.026933418880591836,0.696965,1,wetterfrosch88
149,-43.696530029883085,-0.026933418880591836,0.696965,1,An.Di.
150,-43.696530029883085,-0.026933418880591836,0.696965,1,Sandro 8309
151,-43.696530029883085,-0.026933418880591836,0.696965,1,Tajay
152,-43.696530029883085,-0.026933418880591836,0.696965,1,dominic (ag)01
153,-43.696530029883085,-0.026933418880591836,0.696965,1,Hitch Maienfeld
154,1.3880757967416175,-0.0023908009429538784,0.588685,19,mr_bike
155,58.7118064511828,-0.11294834719503719,0.558139,42,Gernot
156,-18.19439457899281,0.19777526612391347,0.549732,11,Markus (Horw)
